resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,code,forename,surname
1,18,1,1,22,1,1,1,1,10,58,34:50.6,5690616,39,2,01:27.5,218.3,1,HAM,Lewis,Hamilton
2,18,2,2,3,5,2,2,2,8,58,5.478,5696094,41,3,01:27.7,217.586,1,HEI,Nick,Heidfeld
3,18,3,3,7,7,3,3,3,6,58,8.163,5698779,41,5,01:28.1,216.719,1,ROS,Nico,Rosberg
4,18,4,4,5,11,4,4,4,5,58,17.181,5707797,58,7,01:28.6,215.464,1,ALO,Fernando,Alonso
5,18,5,1,23,3,5,5,5,4,58,18.014,5708630,43,1,01:27.4,218.385,1,KOV,Heikki,Kovalainen
23,19,8,6,1,2,1,1,1,10,56,31:18.6,5478555,37,2,01:35.4,209.158,1,RAI,Kimi,Räikkönen
24,19,9,2,4,4,2,2,2,8,56,19.57,5498125,39,6,01:35.9,208.033,1,KUB,Robert,Kubica
25,19,5,1,23,8,3,3,3,6,56,38.45,5517005,19,7,01:35.9,208.031,1,KOV,Heikki,Kovalainen
26,19,15,7,11,3,4,4,4,5,56,45.832,5524387,53,8,01:36.1,207.715,1,TRU,Jarno,Trulli
27,19,1,1,22,9,5,5,5,4,56,46.548,5525103,53,3,01:35.5,209.033,1,HAM,Lewis,Hamilton
28,19,2,2,3,5,6,6,6,3,56,49.833,5528388,55,1,01:35.4,209.244,1,HEI,Nick,Heidfeld
29,19,17,9,10,6,7,7,7,2,56,+1:08.130,5546685,53,12,01:36.7,206.366,1,WEB,Mark,Webber
30,19,4,4,5,7,8,8,8,1,56,+1:10.041,5548596,40,10,01:36.3,207.24,1,ALO,Fernando,Alonso
31,19,14,9,9,12,9,9,9,0,56,+1:16.220,5554775,55,9,01:36.2,207.417,1,COU,David,Coulthard
32,19,18,11,16,11,10,10,10,0,56,+1:26.214,5564769,56,4,01:35.7,208.481,1,BUT,Jenson,Button
33,19,12,4,6,13,11,11,11,0,56,+1:32.202,5570757,52,15,01:37.0,205.812,1,PIQ,Nelson,Piquet Jr.
45,20,13,6,2,2,1,1,1,10,57,31:07.0,5466970,38,3,01:33.6,208.153,1,MAS,Felipe,Massa
46,20,8,6,1,4,2,2,2,8,57,3.339,5470309,35,4,01:33.7,207.911,1,RAI,Kimi,Räikkönen
47,20,9,2,4,1,3,3,3,6,57,4.998,5471968,55,5,01:33.8,207.765,1,KUB,Robert,Kubica
48,20,2,2,3,6,4,4,4,5,57,8.409,5475379,48,2,01:33.6,208.231,1,HEI,Nick,Heidfeld
49,20,5,1,23,5,5,5,5,4,57,26.789,5493759,49,1,01:33.2,209.062,1,KOV,Heikki,Kovalainen
50,20,15,7,11,7,6,6,6,3,57,41.314,5508284,45,7,01:34.2,206.819,1,TRU,Jarno,Trulli
51,20,17,9,10,11,7,7,7,2,57,45.473,5512443,51,8,01:34.3,206.597,1,WEB,Mark,Webber
52,20,3,3,7,8,8,8,8,1,57,55.889,5522859,57,6,01:34.1,207.109,1,ROS,Nico,Rosberg
53,20,10,7,12,13,9,9,9,0,57,+1:09.500,5536470,56,9,01:34.8,205.503,1,GLO,Timo,Glock
54,20,4,4,5,10,10,10,10,0,57,+1:17.181,5544151,35,13,01:35.2,204.668,1,ALO,Fernando,Alonso
55,20,22,11,17,12,11,11,11,0,57,+1:17.862,5544832,40,10,01:34.9,205.399,1,BAR,Rubens,Barrichello
67,21,8,6,1,1,1,1,1,10,66,38:19.1,5899051,46,1,01:21.7,205.191,1,RAI,Kimi,Räikkönen
68,21,13,6,2,3,2,2,2,8,66,3.228,5902279,45,2,01:21.8,204.863,1,MAS,Felipe,Massa
69,21,1,1,22,5,3,3,3,6,66,4.187,5903238,20,3,01:22.0,204.323,1,HAM,Lewis,Hamilton
70,21,9,2,4,4,4,4,4,5,66,5.694,5904745,20,4,01:22.1,204.102,1,KUB,Robert,Kubica
71,21,17,9,10,7,5,5,5,4,66,35.938,5934989,19,8,01:22.6,202.969,1,WEB,Mark,Webber
72,21,18,11,16,13,6,6,6,3,66,53.01,5952061,66,5,01:22.4,203.489,1,BUT,Jenson,Button
73,21,6,3,8,12,7,7,7,2,66,58.244,5957295,48,15,01:23.5,200.576,1,NAK,Kazuki,Nakajima
74,21,15,7,11,8,8,8,8,1,66,59.435,5958486,45,10,01:22.8,202.494,1,TRU,Jarno,Trulli
75,21,2,2,3,9,9,9,9,0,66,+1:03.073,5962124,21,7,01:22.5,203.08,1,HEI,Nick,Heidfeld
89,22,13,6,2,1,1,1,1,10,58,26:49.5,5209451,16,3,01:26.7,221.734,1,MAS,Felipe,Massa
90,22,1,1,22,3,2,2,2,8,58,3.779,5213230,31,2,01:26.5,222.085,1,HAM,Lewis,Hamilton
91,22,8,6,1,4,3,3,3,6,58,4.271,5213722,20,1,01:26.5,222.144,1,RAI,Kimi,Räikkönen
92,22,9,2,4,5,4,4,4,5,58,21.945,5231396,17,4,01:26.8,221.442,1,KUB,Robert,Kubica
93,22,2,2,3,9,5,5,5,4,58,38.741,5248192,20,5,01:27.2,220.328,1,HEI,Nick,Heidfeld
94,22,4,4,5,7,6,6,6,3,58,53.724,5263175,57,6,01:27.3,220.174,1,ALO,Fernando,Alonso
95,22,17,9,10,6,7,7,7,2,58,+1:04.229,5273680,14,7,01:27.6,219.294,1,WEB,Mark,Webber
96,22,3,3,7,11,8,8,8,1,58,+1:11.406,5280857,55,9,01:27.8,218.882,1,ROS,Nico,Rosberg
97,22,14,9,9,10,9,9,9,0,58,+1:15.270,5284721,41,12,01:28.0,218.457,1,COU,David,Coulthard
98,22,15,7,11,8,10,10,10,0,58,+1:16.344,5285795,52,11,01:27.9,218.556,1,TRU,Jarno,Trulli
109,23,1,1,22,3,1,1,1,10,76,00:42.7,7242742,71,6,01:18.5,153.152,1,HAM,Lewis,Hamilton
110,23,9,2,4,5,2,2,2,8,76,3.064,7245806,75,5,01:17.9,154.286,1,KUB,Robert,Kubica
111,23,13,6,2,1,3,3,3,6,76,4.811,7247553,76,4,01:17.9,154.379,1,MAS,Felipe,Massa
112,23,17,9,10,9,4,4,4,5,76,19.295,7262037,74,8,01:19.0,152.133,1,WEB,Mark,Webber
113,23,20,5,15,19,5,5,5,4,76,24.657,7267399,74,7,01:18.8,152.614,1,VET,Sebastian,Vettel
114,23,22,11,17,14,6,6,6,3,76,28.408,7271150,75,9,01:19.6,151.104,1,BAR,Rubens,Barrichello
115,23,6,3,8,13,7,7,7,2,76,30.18,7272922,75,13,01:19.9,150.469,1,NAK,Kazuki,Nakajima
116,23,5,1,23,4,8,8,8,1,76,33.191,7275933,74,2,01:17.3,155.586,1,KOV,Heikki,Kovalainen
117,23,8,6,1,2,9,9,9,0,76,33.792,7276534,74,1,01:16.7,156.789,1,RAI,Kimi,Räikkönen
129,24,9,2,4,2,1,1,1,10,70,36:24.2,5784227,47,4,01:17.5,202.473,1,KUB,Robert,Kubica
130,24,2,2,3,8,2,2,2,8,70,16.495,5800722,25,2,01:17.4,202.758,1,HEI,Nick,Heidfeld
131,24,14,9,9,13,3,3,3,6,70,23.352,5807579,36,7,01:18.1,201.057,1,COU,David,Coulthard
132,24,10,7,12,11,4,4,4,5,70,42.627,5826854,31,17,01:19.1,198.51,1,GLO,Timo,Glock
133,24,13,6,2,6,5,5,5,4,70,43.934,5828161,11,6,01:18.0,201.261,1,MAS,Felipe,Massa
134,24,15,7,11,14,6,6,6,3,70,47.775,5832002,38,15,01:18.9,199.056,1,TRU,Jarno,Trulli
135,24,22,11,17,9,7,7,7,2,70,53.597,5837824,35,10,01:18.3,200.503,1,BAR,Rubens,Barrichello
136,24,20,5,15,19,8,8,8,1,70,54.12,5838347,33,12,01:18.5,199.913,1,VET,Sebastian,Vettel
137,24,5,1,23,7,9,9,9,0,70,54.433,5838660,62,11,01:18.5,200.091,1,KOV,Heikki,Kovalainen
138,24,3,3,7,5,10,10,10,0,70,54.749,5838976,14,5,01:18.0,201.336,1,ROS,Nico,Rosberg
139,24,18,11,16,20,11,11,11,0,70,+1:07.540,5851767,58,19,01:19.4,197.847,1,BUT,Jenson,Button
140,24,17,9,10,10,12,12,12,0,70,+1:11.299,5855526,51,8,01:18.2,200.759,1,WEB,Mark,Webber
149,25,13,6,2,2,1,1,1,10,70,31:50.2,5510245,20,2,01:16.7,206.956,1,MAS,Felipe,Massa
150,25,8,6,1,1,2,2,2,8,70,17.984,5528229,16,1,01:16.6,207.224,1,RAI,Kimi,Räikkönen
151,25,15,7,11,4,3,3,3,6,70,28.25,5538495,12,7,01:17.6,204.721,1,TRU,Jarno,Trulli
152,25,5,1,23,10,4,4,4,5,70,28.929,5539174,46,3,01:17.1,205.87,1,KOV,Heikki,Kovalainen
153,25,9,2,4,5,5,5,5,4,70,30.512,5540757,16,4,01:17.2,205.768,1,KUB,Robert,Kubica
154,25,17,9,10,6,6,6,6,3,70,40.304,5550549,22,6,01:17.5,204.879,1,WEB,Mark,Webber
155,25,12,4,6,9,7,7,7,2,70,41.033,5551278,24,10,01:17.8,204.218,1,PIQ,Nelson,Piquet Jr.
156,25,4,4,5,3,8,8,8,1,70,43.372,5553617,39,8,01:17.6,204.525,1,ALO,Fernando,Alonso
157,25,14,9,9,7,9,9,9,0,70,51.021,5561266,23,12,01:17.8,204.06,1,COU,David,Coulthard
158,25,1,1,22,13,10,10,10,0,70,54.538,5564783,40,5,01:17.5,205.022,1,HAM,Lewis,Hamilton
159,25,10,7,12,8,11,11,11,0,70,57.7,5567945,45,13,01:17.8,204.013,1,GLO,Timo,Glock
160,25,20,5,15,12,12,12,12,0,70,58.065,5568310,36,11,01:17.8,204.212,1,VET,Sebastian,Vettel
161,25,2,2,3,11,13,13,13,0,70,+1:02.079,5572324,46,9,01:17.7,204.328,1,HEI,Nick,Heidfeld
169,26,1,1,22,4,1,1,1,10,60,39:09.4,5949440,16,3,01:32.8,199.398,1,HAM,Lewis,Hamilton
170,26,2,2,3,5,2,2,2,8,60,+1:08.577,6018017,21,2,01:32.7,199.609,1,HEI,Nick,Heidfeld
171,26,22,11,17,16,3,3,3,6,60,+1:22.273,6031713,21,11,01:33.4,198.183,1,BAR,Rubens,Barrichello
189,27,1,1,22,1,1,1,1,10,67,31:20.9,5480874,17,2,01:16.0,216.552,1,HAM,Lewis,Hamilton
190,27,12,4,6,17,2,2,2,8,67,5.586,5486460,66,9,01:16.9,214.099,1,PIQ,Nelson,Piquet Jr.
191,27,13,6,2,2,3,3,3,6,67,9.339,5490213,19,5,01:16.5,215.241,1,MAS,Felipe,Massa
192,27,2,2,3,12,4,4,4,5,67,9.825,5490699,52,1,01:16.0,216.7,1,HEI,Nick,Heidfeld
193,27,5,1,23,3,5,5,5,4,67,12.411,5493285,63,4,01:16.5,215.261,1,KOV,Heikki,Kovalainen
194,27,8,6,1,6,6,6,6,3,67,14.403,5495277,66,3,01:16.3,215.692,1,RAI,Kimi,Räikkönen
195,27,9,2,4,7,7,7,7,2,67,22.682,5503556,17,6,01:16.6,214.937,1,KUB,Robert,Kubica
196,27,20,5,15,9,8,8,8,1,67,33.299,5514173,20,8,01:16.8,214.484,1,VET,Sebastian,Vettel
197,27,15,7,11,4,9,9,9,0,67,37.158,5518032,17,12,01:17.0,213.785,1,TRU,Jarno,Trulli
198,27,3,3,7,13,10,10,10,0,67,37.625,5518499,34,15,01:17.4,212.799,1,ROS,Nico,Rosberg
199,27,4,4,5,5,11,11,11,0,67,38.6,5519474,17,13,01:17.1,213.53,1,ALO,Fernando,Alonso
200,27,7,5,14,15,12,12,12,0,67,39.111,5519985,63,10,01:17.0,213.935,1,BOU,Sébastien,Bourdais
201,27,14,9,9,10,13,13,13,0,67,54.971,5535845,18,11,01:17.0,213.866,1,COU,David,Coulthard
202,27,6,3,8,16,14,14,14,0,67,+1:00.003,5540877,23,17,01:17.7,211.947,1,NAK,Kazuki,Nakajima
203,27,16,10,20,19,15,15,15,0,67,+1:09.488,5550362,66,18,01:17.9,211.408,1,SUT,Adrian,Sutil
204,27,21,10,21,20,16,16,16,0,67,+1:24.093,5564967,67,20,01:18.2,210.546,1,FIS,Giancarlo,Fisichella
209,28,5,1,23,2,1,1,1,10,70,37:27.1,5847067,19,7,01:21.8,192.917,1,KOV,Heikki,Kovalainen
210,28,10,7,12,5,2,2,2,8,70,11.061,5858128,42,6,01:21.7,193.111,1,GLO,Timo,Glock
211,28,8,6,1,6,3,3,3,6,70,16.856,5863923,61,1,01:21.2,194.243,1,RAI,Kimi,Räikkönen
212,28,4,4,5,7,4,4,4,5,70,21.614,5868681,47,8,01:21.8,192.823,1,ALO,Fernando,Alonso
213,28,1,1,22,1,5,5,5,4,70,23.048,5870115,15,3,01:21.5,193.533,1,HAM,Lewis,Hamilton
214,28,12,4,6,10,6,6,6,3,70,32.298,5879365,64,4,01:21.5,193.428,1,PIQ,Nelson,Piquet Jr.
215,28,15,7,11,9,7,7,7,2,70,36.449,5883516,65,5,01:21.6,193.189,1,TRU,Jarno,Trulli
216,28,9,2,4,4,8,8,8,1,70,48.321,5895388,70,9,01:21.9,192.475,1,KUB,Robert,Kubica
217,28,17,9,10,8,9,9,9,0,70,58.834,5905901,67,10,01:22.1,192.043,1,WEB,Mark,Webber
218,28,2,2,3,15,10,10,10,0,70,+1:07.709,5914776,67,11,01:22.2,191.908,1,HEI,Nick,Heidfeld
219,28,14,9,9,13,11,11,11,0,70,+1:10.407,5917474,67,16,01:22.7,190.634,1,COU,David,Coulthard
229,29,13,6,2,1,1,1,1,10,57,35:32.3,5732339,36,1,01:38.7,197.637,1,MAS,Felipe,Massa
230,29,1,1,22,2,2,2,2,8,57,5.611,5737950,16,2,01:38.9,197.285,1,HAM,Lewis,Hamilton
231,29,9,2,4,3,3,3,3,6,57,37.353,5769692,38,4,01:39.3,196.399,1,KUB,Robert,Kubica
232,29,5,1,23,5,4,4,4,5,57,39.703,5772042,19,3,01:39.1,196.831,1,KOV,Heikki,Kovalainen
233,29,15,7,11,7,5,5,5,4,57,50.684,5783023,37,12,01:39.7,195.755,1,TRU,Jarno,Trulli
234,29,20,5,15,6,6,6,6,3,57,52.625,5784964,36,6,01:39.5,196.093,1,VET,Sebastian,Vettel
235,29,10,7,12,13,7,7,7,2,57,+1:07.990,5800329,54,8,01:39.5,195.995,1,GLO,Timo,Glock
236,29,3,3,7,9,8,8,8,1,57,+1:11.457,5803796,35,10,01:39.6,195.912,1,ROS,Nico,Rosberg
237,29,2,2,3,8,9,9,9,0,57,+1:22.177,5814516,57,7,01:39.5,196.013,1,HEI,Nick,Heidfeld
238,29,7,5,14,10,10,10,10,0,57,+1:29.794,5822133,35,11,01:39.6,195.79,1,BOU,Sébastien,Bourdais
239,29,12,4,6,15,11,11,11,0,57,+1:32.717,5825056,29,9,01:39.5,195.977,1,PIQ,Nelson,Piquet Jr.
249,30,13,6,2,2,1,1,1,10,44,22:59.4,4979394,26,3,01:48.2,232.987,1,MAS,Felipe,Massa
250,30,2,2,3,5,2,2,2,8,44,9.383,4988777,36,7,01:49.1,231.182,1,HEI,Nick,Heidfeld
251,30,1,1,22,1,3,3,3,6,44,10.539,4989933,20,2,01:48.1,233.175,1,HAM,Lewis,Hamilton
252,30,4,4,5,6,4,4,4,5,44,14.478,4993872,25,9,01:49.2,230.82,1,ALO,Fernando,Alonso
253,30,20,5,15,10,5,5,5,4,44,14.576,4993970,16,8,01:49.1,231.142,1,VET,Sebastian,Vettel
254,30,9,2,4,8,6,6,6,3,44,15.037,4994431,36,5,01:49.0,231.399,1,KUB,Robert,Kubica
255,30,7,5,14,9,7,7,7,2,44,16.735,4996129,31,6,01:49.0,231.32,1,BOU,Sébastien,Bourdais
256,30,17,9,10,7,8,8,8,1,44,42.776,5022170,34,10,01:49.5,230.236,1,WEB,Mark,Webber
257,30,10,7,12,13,9,9,9,0,44,+1:07.045,5046439,37,12,01:50.3,228.691,1,GLO,Timo,Glock
269,31,20,5,15,1,1,1,1,10,53,26:47.5,5207494,53,14,01:30.5,230.414,1,VET,Sebastian,Vettel
270,31,5,1,23,2,2,2,2,8,53,12.512,5220006,53,13,01:30.3,230.95,1,KOV,Heikki,Kovalainen
271,31,9,2,4,11,3,3,3,6,53,20.471,5227965,52,12,01:30.3,230.955,1,KUB,Robert,Kubica
272,31,4,4,5,8,4,4,4,5,53,23.903,5231397,51,9,01:30.0,231.82,1,ALO,Fernando,Alonso
273,31,2,2,3,10,5,5,5,4,53,27.748,5235242,53,6,01:29.8,232.217,1,HEI,Nick,Heidfeld
274,31,13,6,2,6,6,6,6,3,53,28.816,5236310,52,4,01:29.7,232.505,1,MAS,Felipe,Massa
275,31,1,1,22,15,7,7,7,2,53,29.912,5237406,52,5,01:29.7,232.44,1,HAM,Lewis,Hamilton
276,31,17,9,10,3,8,8,8,1,53,32.048,5239542,52,3,01:29.7,232.544,1,WEB,Mark,Webber
277,31,8,6,1,14,9,9,9,0,53,39.468,5246962,53,1,01:28.0,236.859,1,RAI,Kimi,Räikkönen
278,31,12,4,6,17,10,10,10,0,53,54.445,5261939,53,16,01:30.9,229.38,1,PIQ,Nelson,Piquet Jr.
279,31,10,7,12,9,11,11,11,0,53,58.888,5266382,53,8,01:29.9,231.853,1,GLO,Timo,Glock
280,31,6,3,8,18,12,12,12,0,53,+1:02.015,5269509,53,11,01:30.2,231.167,1,NAK,Kazuki,Nakajima
281,31,15,7,11,7,13,13,13,0,53,+1:05.954,5273448,52,15,01:30.9,229.544,1,TRU,Jarno,Trulli
282,31,3,3,7,5,14,14,14,0,53,+1:08.635,5276129,53,10,01:30.0,231.671,1,ROS,Nico,Rosberg
283,31,18,11,16,19,15,15,15,0,53,+1:13.370,5280864,52,7,01:29.8,232.166,1,BUT,Jenson,Button
289,32,4,4,5,15,1,1,1,10,61,57:16.3,7036304,55,3,01:45.8,172.464,1,ALO,Fernando,Alonso
290,32,3,3,7,8,2,2,2,8,61,2.957,7039261,39,5,01:46.5,171.352,1,ROS,Nico,Rosberg
291,32,1,1,22,2,3,3,3,6,61,5.917,7042221,14,4,01:46.1,171.969,1,HAM,Lewis,Hamilton
292,32,10,7,12,7,4,4,4,5,61,8.155,7044459,50,8,01:47.0,170.408,1,GLO,Timo,Glock
293,32,20,5,15,6,5,5,5,4,61,10.268,7046572,13,9,01:47.3,170.047,1,VET,Sebastian,Vettel
294,32,2,2,3,9,6,6,6,3,61,11.101,7047405,14,11,01:47.3,169.992,1,HEI,Nick,Heidfeld
295,32,14,9,9,14,7,7,7,2,61,16.387,7052691,41,13,01:47.6,169.587,1,COU,David,Coulthard
296,32,6,3,8,10,8,8,8,1,61,18.489,7054793,13,10,01:47.3,170.022,1,NAK,Kazuki,Nakajima
297,32,18,11,16,12,9,9,9,0,61,19.885,7056189,61,15,01:48.1,168.7,1,BUT,Jenson,Button
298,32,5,1,23,5,10,10,10,0,61,26.902,7063206,14,12,01:47.3,169.943,1,KOV,Heikki,Kovalainen
299,32,9,2,4,4,11,11,11,0,61,27.975,7064279,14,6,01:46.9,170.639,1,KUB,Robert,Kubica
300,32,7,5,14,17,12,12,12,0,61,29.432,7065736,29,14,01:47.8,169.181,1,BOU,Sébastien,Bourdais
301,32,13,6,2,1,13,13,13,0,61,35.17,7071474,13,2,01:45.8,172.482,1,MAS,Felipe,Massa
302,32,21,10,21,20,14,14,14,0,61,43.571,7079875,28,16,01:49.1,167.195,1,FIS,Giancarlo,Fisichella
309,33,4,4,5,4,1,1,1,10,67,30:21.9,5421892,41,3,01:19.1,207.668,1,ALO,Fernando,Alonso
310,33,9,2,4,6,2,2,2,8,67,5.283,5427175,16,7,01:19.3,207.168,1,KUB,Robert,Kubica
311,33,8,6,1,2,3,3,3,6,67,6.4,5428292,66,2,01:19.0,207.947,1,RAI,Kimi,Räikkönen
312,33,12,4,6,12,4,4,4,5,67,20.57,5442462,54,4,01:19.2,207.411,1,PIQ,Nelson,Piquet Jr.
313,33,15,7,11,7,5,5,5,4,67,23.767,5445659,18,9,01:19.5,206.564,1,TRU,Jarno,Trulli
314,33,20,5,15,9,6,6,6,3,67,39.207,5461099,21,12,01:19.6,206.322,1,VET,Sebastian,Vettel
315,33,13,6,2,5,7,7,7,2,67,46.158,5468050,55,1,01:18.4,209.456,1,MAS,Felipe,Massa
316,33,17,9,10,13,8,8,8,1,67,50.811,5472703,30,13,01:19.8,205.798,1,WEB,Mark,Webber
317,33,2,2,3,16,9,9,9,0,67,54.12,5476012,67,8,01:19.5,206.727,1,HEI,Nick,Heidfeld
318,33,7,5,14,10,10,10,10,0,67,59.085,5480977,49,6,01:19.3,207.246,1,BOU,Sébastien,Bourdais
319,33,3,3,7,15,11,11,11,0,67,+1:02.096,5483988,66,10,01:19.5,206.545,1,ROS,Nico,Rosberg
320,33,1,1,22,1,12,12,12,0,67,+1:18.900,5500792,65,11,01:19.6,206.47,1,HAM,Lewis,Hamilton
329,34,1,1,22,1,1,1,1,10,56,31:57.4,5517403,13,1,01:36.3,203.722,1,HAM,Lewis,Hamilton
330,34,13,6,2,3,2,2,2,8,56,14.925,5532328,36,4,01:36.6,203.161,1,MAS,Felipe,Massa
331,34,8,6,1,2,3,3,3,6,56,16.445,5533848,14,2,01:36.5,203.389,1,RAI,Kimi,Räikkönen
332,34,4,4,5,4,4,4,4,5,56,18.37,5535773,56,5,01:36.7,203.018,1,ALO,Fernando,Alonso
333,34,2,2,3,9,5,5,5,4,56,28.923,5546326,56,3,01:36.5,203.357,1,HEI,Nick,Heidfeld
334,34,9,2,4,11,6,6,6,3,56,33.219,5550622,56,7,01:36.9,202.61,1,KUB,Robert,Kubica
335,34,10,7,12,12,7,7,7,2,56,41.722,5559125,56,6,01:36.7,202.876,1,GLO,Timo,Glock
336,34,12,4,6,10,8,8,8,1,56,56.645,5574048,56,8,01:37.0,202.313,1,PIQ,Nelson,Piquet Jr.
337,34,20,5,15,6,9,9,9,0,56,+1:04.339,5581742,55,9,01:37.2,201.863,1,VET,Sebastian,Vettel
338,34,14,9,9,15,10,10,10,0,56,+1:14.842,5592245,27,14,01:37.8,200.746,1,COU,David,Coulthard
339,34,22,11,17,13,11,11,11,0,56,+1:25.061,5602464,56,16,01:37.8,200.558,1,BAR,Rubens,Barrichello
340,34,6,3,8,17,12,12,12,0,56,+1:30.847,5608250,54,17,01:38.0,200.202,1,NAK,Kazuki,Nakajima
341,34,7,5,14,8,13,13,13,0,56,+1:31.457,5608860,36,12,01:37.5,201.366,1,BOU,Sébastien,Bourdais
342,34,17,9,10,16,14,14,14,0,56,+1:32.422,5609825,10,13,01:37.7,200.896,1,WEB,Mark,Webber
349,35,13,6,2,1,1,1,1,10,71,34:11.4,5651435,36,1,01:13.7,210.377,1,MAS,Felipe,Massa
350,35,4,4,5,6,2,2,2,8,71,13.298,5664733,39,8,01:14.2,208.98,1,ALO,Fernando,Alonso
351,35,8,6,1,3,3,3,3,6,71,16.235,5667670,59,3,01:14.1,209.296,1,RAI,Kimi,Räikkönen
352,35,20,5,15,7,4,4,4,5,71,38.011,5689446,25,7,01:14.2,209.022,1,VET,Sebastian,Vettel
353,35,1,1,22,4,5,5,5,4,71,38.907,5690342,31,4,01:14.2,209.177,1,HAM,Lewis,Hamilton
354,35,10,7,12,10,6,6,6,3,71,44.368,5695803,32,2,01:14.1,209.465,1,GLO,Timo,Glock
355,35,5,1,23,5,7,7,7,2,71,55.074,5706509,36,6,01:14.2,209.042,1,KOV,Heikki,Kovalainen
356,35,15,7,11,2,8,8,8,1,71,+1:08.433,5719868,40,5,01:14.2,209.155,1,TRU,Jarno,Trulli
357,35,17,9,10,12,9,9,9,0,71,+1:19.666,5731101,40,14,01:15.0,206.741,1,WEB,Mark,Webber
369,36,8,6,6,1,1,1,1,10,58,25:28.8,5128770,41,1,01:25.2,223.978,1,RAI,Kimi,Räikkönen
370,36,4,1,1,2,2,2,2,8,58,7.242,5136012,20,2,01:26.3,221.178,1,ALO,Fernando,Alonso
371,36,1,1,2,4,3,3,3,6,58,18.595,5147365,20,3,01:26.4,221.083,1,HAM,Lewis,Hamilton
372,36,2,2,9,3,4,4,4,5,58,38.763,5167533,37,6,01:26.7,220.137,1,HEI,Nick,Heidfeld
373,36,21,4,3,6,5,5,5,4,58,+1:06.469,5195239,18,7,01:26.9,219.707,1,FIS,Giancarlo,Fisichella
374,36,13,6,5,22,6,6,6,3,58,+1:06.805,5195575,28,8,01:27.0,219.323,1,MAS,Felipe,Massa
391,37,4,1,1,2,1,1,1,10,56,32:14.9,5534930,42,2,01:36.9,206.014,1,ALO,Fernando,Alonso
392,37,1,1,2,4,2,2,2,8,56,17.557,5552487,22,1,01:36.7,206.355,1,HAM,Lewis,Hamilton
393,37,8,6,6,3,3,3,3,6,56,18.339,5553269,40,4,01:37.2,205.237,1,RAI,Kimi,Räikkönen
394,37,2,2,9,5,4,4,4,5,56,33.777,5568707,55,5,01:37.4,204.838,1,HEI,Nick,Heidfeld
395,37,13,6,5,1,5,5,5,4,56,36.705,5571635,42,3,01:37.2,205.298,1,MAS,Felipe,Massa
396,37,21,4,3,12,6,6,6,3,56,+1:05.638,5600568,44,9,01:37.9,203.872,1,FIS,Giancarlo,Fisichella
397,37,15,7,12,8,7,7,7,2,56,+1:10.132,5605062,40,10,01:38.0,203.587,1,TRU,Jarno,Trulli
398,37,5,4,4,11,8,8,8,1,56,+1:12.015,5606945,41,7,01:37.8,204.015,1,KOV,Heikki,Kovalainen
399,37,25,3,17,19,9,9,9,0,56,+1:29.924,5624854,19,8,01:37.9,203.903,1,WUR,Alexander,Wurz
400,37,17,9,15,10,10,10,10,0,56,+1:33.556,5628486,55,14,01:38.5,202.504,1,WEB,Mark,Webber
413,38,13,6,5,1,1,1,1,10,57,33:27.5,5607515,42,1,01:34.1,207.12,1,MAS,Felipe,Massa
414,38,1,1,2,2,2,2,2,8,57,2.36,5609875,18,2,01:34.3,206.674,1,HAM,Lewis,Hamilton
415,38,8,6,6,3,3,3,3,6,57,10.839,5618354,39,3,01:34.4,206.483,1,RAI,Kimi,Räikkönen
416,38,2,2,9,5,4,4,4,5,57,13.831,5621346,38,5,01:34.5,206.236,1,HEI,Nick,Heidfeld
417,38,4,1,1,4,5,5,5,4,57,14.426,5621941,46,4,01:34.4,206.346,1,ALO,Fernando,Alonso
418,38,9,2,10,6,6,6,6,3,57,45.529,5653044,46,6,01:34.8,205.477,1,KUB,Robert,Kubica
419,38,15,7,12,9,7,7,7,2,57,+1:21.371,5688886,40,7,01:35.2,204.756,1,TRU,Jarno,Trulli
420,38,21,4,3,7,8,8,8,1,57,+1:21.701,5689216,51,8,01:35.2,204.655,1,FIS,Giancarlo,Fisichella
421,38,5,4,4,12,9,9,9,0,57,+1:29.411,5696926,27,10,01:35.5,204.065,1,KOV,Heikki,Kovalainen
422,38,3,3,16,10,10,10,10,0,57,+1:29.916,5697431,51,11,01:35.6,203.893,1,ROS,Nico,Rosberg
435,39,13,6,5,1,1,1,1,10,65,31:36.2,5496230,14,1,01:22.7,202.685,1,MAS,Felipe,Massa
436,39,1,1,2,4,2,2,2,8,65,6.79,5503020,20,2,01:22.9,202.205,1,HAM,Lewis,Hamilton
437,39,4,1,1,2,3,3,3,6,65,17.456,5513686,17,3,01:23.0,201.986,1,ALO,Fernando,Alonso
438,39,9,2,10,5,4,4,4,5,65,31.615,5527845,20,5,01:23.1,201.59,1,KUB,Robert,Kubica
439,39,14,9,14,9,5,5,5,4,65,58.331,5554561,18,8,01:23.5,200.636,1,COU,David,Coulthard
440,39,3,3,16,11,6,6,6,3,65,59.538,5555768,60,10,01:23.7,200.231,1,ROS,Nico,Rosberg
441,39,5,4,4,8,7,7,7,2,65,+1:02.128,5558358,32,4,01:23.0,201.952,1,KOV,Heikki,Kovalainen
